source_colony,destination_colony
Massachusetts Bay,Massachusetts Bay
Connecticut,Connecticut
Rhode Island,Rhode Island
New York,New York
New Jersey,New Jersey
Pennsylvania,Pennsylvania
Maryland,Maryland
Virginia,Virginia
North Carolina,North Carolina
South Carolina,South Carolina
Georgia,Georgia
New Hampshire,New Hampshire
Delaware,Delaware
