colony,congregations_total,membership_rate,membership_rate_whites
Maine,64,11,12
New Hampshire,125,12,12
Vermont,20,5,5
Massachusetts,433,13,13
Rhode Island,87,12,12
Connecticut,310,12,12
New England,1039,12,12
New York,220,9,10
Pennsylvania,535,14,14
New Jersey,252,15,15
Delaware,67,12,13
Maryland,211,7,10
Middle Colonies,1285,11,12
Virginia,491,7,13
North Carolina,165,5,8
South Carolina,166,8,18
Georgia,23,4,12
Southern Colonies,845,7,12
National,3228,10,12
